,Icon,Company,Ratings,Reviews,Salaries,Jobs,Location,Company Size,Industry,Description
0,https://media.glassdoor.com/sql/13461/tata-consultancy-services-squareLogo-1634801936555.png,Tata Consultancy Services,3.8,1.4L,1.4L,1.3T,39 office locations,10000+ Employees,Software Development,No Info
1,https://media.glassdoor.com/sql/4138/accenture-squarelogo-1603988625135.png,Accenture,4.0,1.6L,85.2T,33.7T,37 office locations,10000+ Employees,Business Consulting,"Growing customer expectations. Market-Shaping AI. Self-Optimizing systems. The post-digital age shows no signs of slow down, and the need for the new ideas powered by intelligent technologies has never been greater.

A vision for the future can’t be realized without know-how. Accenture partners with our clients drive real innovation – the kind that turns an idea into an industry – helping them transform and grow their organizations. Learn how we work with companies from all industries across the globe to create the New, now."
2,https://media.glassdoor.com/sql/8014/cognizant-technology-solutions-squareLogo-1651131366751.png,Cognizant Technology Solutions,3.8,99.6T,82T,1.9T,31 office locations,10000+ Employees,Information Technology Support Services,"Cognizant is one of the world’s leading professional services companies, helping clients become data-enabled and data-driven in the digital era. Our industry-based, consultative approach helps companies evolve into modern businesses. By leading clients in leveraging technologies essential to modern enterprises such as IoT, artificial intelligence, digital engineering and cloud, we enable new business and operating models that unlock new value in markets around the world. Cognizant’s unwavering focus on our clients is led by over 330,000 associates, who deliver services and solutions tailored to specific industries and the unique needs of the organizations we serve."
3,https://media.glassdoor.com/sql/3803/capgemini-squareLogo-1688367853815.png,Capgemini,3.9,75.2T,50.1T,6.6T,55 office locations,10000+ Employees,Enterprise Software & Network Solutions,"Capgemini is a global leader in partnering with companies to transform and manage their business by harnessing the power of technology. The Group is guided everyday by its purpose of unleashing human energy through technology for an inclusive and sustainable future. It is a responsible and diverse organization of 360,000 team members in more than 50 countries. With its strong 55-year heritage and deep industry expertise, Capgemini is trusted by its clients to address the entire breadth of their business needs, from strategy and design to operations, fueled by the fast evolving and innovative world of cloud, data, AI, connectivity, software, digital engineering and platforms. The Group reported in 2022 global revenues of €22 billion.

Capgemini in India comprises over 185,000 team members working across 13 locations: Bangalore, Bhubaneswar, Chennai, Coimbatore, Gandhinagar, Gurugram, Hyderabad, Kolkata, Mumbai, Noida, Pune, Salem and Tiruchirappalli.

 Learn more about Capgemini in India at www.capgemini.com/in-en."
4,https://media.glassdoor.com/sql/354/ibm-squareLogo-1680100245029.png,IBM,4.2,1.1L,35.4T,5.8T,37 office locations,10000+ Employees,Information Technology Support Services,"IBM works to design, advance, and scale the technologies that define each era. Restlessly reinventing since 1911, we are one of the largest technology, consulting and research companies in the world.  IBMers are agents of change – in this team, you’ll become a part of a historic, prestigious, and global community in which you’ll be respected, and your talents will have a real impact. 

Join our team of experts and thrive in a collaborative and friendly environment where you can bring your whole self at work. Use your skills to empower clients and partners to create something that is bigger than what any one of us could produce alone.

Come and let’s create together!"
5,https://media.glassdoor.com/sql/553909/hcl-technologies-squareLogo-1664198027190.png,HCLTech,3.6,43.2T,36T,1T,35 office locations,10000+ Employees,Information Technology Support Services,"HCLTech is a global technology company, home to 221,000+ people across 60 countries, delivering industry-leading capabilities centered around digital, engineering, cloud and AI powered by a broad portfolio of technology services and products. We work with clients across all major verticals, providing industry solutions for Financial Services, Manufacturing, Life Sciences and Healthcare, Technology and Services, Telecom and Media, Retail and CPG, and Public Services.

Our purpose is to bring together the best of technology and our people to supercharge progress. We’re supercharging progress for everyone, everywhere – our clients, partners and their stakeholders, our people, communities, and the planet.

Part of the HCL group, HCLTech was listed on the stock exchanges in India at the turn of the millennium in December 1999. Since our inception, we have pioneered several industry mainstays and established leadership positions in all our chosen segments.

As a company, we are deeply focused on accelerating our ESG agenda. We are also creating technology-enabled sustainable solutions with and for our clients and partners. We embed ESG imperatives into every aspect of our business and ensure that the progress we supercharge is responsible, inclusive and beneficial to all our stakeholders in the long term. We have committed to achieving net zero by 2040.

We recognize the impact that a business like ours can deliver in elevating communities globally, and we continue to improve our efforts and take decisive actions that benefit the communities in which we work and live. Through the HCL Foundation, the CSR arm of HCLTech, we have invested more than $130 million in social development efforts serving communities throughout India across education, health, water, sanitation and hygiene, skill development and livelihoods, environment, and disaster risk reduction, response and management.

We’re powered by our people – a global, diverse, multi-generational talent - representing 161 nationalities whose unique spark, perspective and boundless passion drive our culture of proactive value creation and problem-solving.

Consolidated revenues as of 12 months ending September 2023 totaled $12.9 billion. To learn how we can supercharge progress for you, visit hcltech.com"
6,https://media.glassdoor.com/sql/1737/oracle-squarelogo-1570718316042.png,Oracle,3.9,51.9T,20.8T,3.6T,44 office locations,10000+ Employees,Enterprise Software & Network Solutions,"Oracle is the world’s leading provider of business software. But you probably already knew that. With a presence in over 175 countries, we are one of the biggest technology companies in the world. What you might not know about us, is that we are leading a cloud revolution. 

By delivering tomorrow’s emerging technologies, today, we are transforming the world of business, empowering governments, and helping society evolve with the pace of change. We are disrupting old standards. Revolutionizing industries. What we are doing, above all—is changing lives."
7,https://media.glassdoor.com/sql/9779/teleperformance-squareLogo-1697744314989.png,Teleperformance,4.7,57.5T,9.2T,2.1T,39 office locations,10000+ Employees,Telecommunications Services,"Passion. Integrity. Excellence. We are Teleperformance, the worldwide leader in outsourced omnichannel customer experience management.
 
For almost four decades, we have been helping our clients across 80 countries serving  175 markets strengthen their relationships with their customers by providing customer care, technical support, customer acquisition, digital solutions, analytics, and other specialized services. Aon, Great Place to Work, the Everest Group and many others have recognized our expertise in different fields.
 
As a people company, we want to be the bridge that connects you to great opportunities. Allow us to take your career to new places. With your passion and our mission, we can do great things together. 
 
Ready to take that first step? We want to hear from you."
8,https://media.glassdoor.com/sql/1651/microsoft-squarelogo-1479856042252.png,Microsoft,4.3,52.6T,10.9T,3.1T,60 office locations,10000+ Employees,Computer Hardware Development,"At Microsoft, our mission is to empower every person and every organization on the planet to achieve more. When you join Microsoft, you're not just taking on a job, you're embracing a calling. A calling where your individual contributions amplify into a collective force championing global progress and innovation.  
Rooted in a growth mindset, Microsoft believes in nurturing potential, embracing change, and lifelong learning. As part of Team Microsoft, you'll collaborate across boundaries, building upon the ideas of others, unified by our shared mission.  
Together, our aspirations become tangible. Consider Microsoft to make world-changing impact. 
Because impact matters. 
Join us at careers.microsoft.com"
9,https://media.glassdoor.com/sql/135932/tech-mahindra-squareLogo-1682427461111.png,Tech Mahindra,3.6,33.9T,27.3T,938,30 office locations,10000+ Employees,Information Technology Support Services,"Tech Mahindra represents the connected world, offering innovative and customer-centric information technology experiences, enabling Enterprises, Associates and the Society to Rise™. We are a USD 4.9 billion company with 118,390+ professionals across 90 countries, helping over 930 global customers including Fortune 500 companies. Our convergent, digital, design experiences, innovation platforms and reusable assets connect across a number of technologies to deliver tangible business value and experiences to our stakeholders. Tech Mahindra is the highest ranked Non-U.S. company in the Forbes Global Digital 100 list (2018) and in the Forbes Fab 50 companies in Asia (2018).
We are part of the USD 21 billion Mahindra Group that employs more than 200,000 people in over 100 countries. The Group operates in the key industries that drive economic growth, enjoying a leadership position in tractors, utility vehicles, after-market, information technology and vacation ownership."
